# list of object assets to load in this scene
[ASSETS]
object\jason.txt
object\Blackfoot.txt
object\Sunami.txt
object\Eyelet.txt
object\Bellbomber.txt
object\SmallJason.txt
object\Ground.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Jason	1=Blackfoot	2=Sunami	3=Eyelet	4=Bellbomber
# See OBJECT_TYPE constants in AssetIDs.h

# jason
0	0	0	10
1	128	60	10
2	464	48	10
3	160	32	10
4	176	16	10

#GROUND
100	128	100	20
100	144	100	20
100	160	100	20
100	176	100	20
100	192	100	20
100	208	100	20
100	224	100	20
100	240	100	20
100	256	100	20
100	272	100	20
100	288	100	20
100	304	100	20
100	368	100	20
100	384	100	20
100	400	100	20
100	416	100	20
100	432	100	20
100	480	84	20
100	496	84	20
100	560	68	20
100	576	68	20
100	592	68	20
100	608	68	20
100	624	68	20
100	640	68	20
100	656	68	20
100	672	68	20
100	688	100	20
100	704	100	20
100	720	100	20
100	736	100	20
100	752	100	20
100	768	100	20
100	784	100	20
100	800	100	20
100	816	100	20
100	832	100	20
100	848	100	20
100	864	100	20
100	880	100	20
100	896	100	20
100	912	100	20
100	928	100	20
100	944	100	20
100	960	100	20
100	976	100	20
100	992	100	20
100	1008	100	20
100	1024	100	20
100	1040	100	20
100	1056	100	20
100	1072	100	20
100	1088	100	20
100	1104	100	20
100	1120	100	20
100	1136	100	20
100	1152	100	20
100	1168	100	20
100	1184	100	20
100	1200	100	20
100	1216	100	20
100	1232	100	20
100	1248	100	20
100	1264	100	20
100	1280	100	20
100	1296	100	20
100	1312	100	20
100	1328	100	20
100	1344	100	20
100	1360	100	20
100	1376	100	20
100	1392	100	20
100	1408	100	20
100	1424	100	20
100	1440	100	20
100	1456	100	20
100	1472	100	20
100	1488	100	20
100	1504	100	20
100	1520	100	20
100	1536	100	20
100	1552	100	20
100	1568	100	20
100	1584	100	20
100	0	84	20
100	16	84	20
100	32	84	20
100	48	84	20
100	64	84	20
100	80	84	20
100	96	84	20
100	112	84	20
100	320	84	20
100	336	84	20
100	352	84	20
